,제목,내용,링크,발행 날짜,감성,감성 점수
10,"코스피, ‘세제 개편 불확실성’ 속 보합세…코스닥은 강보합","한지영 키움증권 연구원은 “금요일 미국 고용 쇼크 여진, 미국 7월 ISM 서비스업 PMI, 미국 인공지능(AI) 주 실적(AMD·팔란티어 등), 국내 기업 실적(현대로템·LIG넥스원·NAVER 등), 국내 세제 개편안 불확실성... ",http://www.edaily.co.kr/news/newspath.asp?newsid=02440326642264040,2025-08-04 09:20:00,neutral,0.6143069267272949
11,코스피 3110선 약세 출발…미 고용 쇼크와 세제개편안 불확실성 부담,"키움증권은 이번 주 국내 증시가 미국 고용 쇼크 여진, 7월 미국 공급관리협회(ISM) 서비스업 구매자관리지수(PMI), 미국 AI 관련주(AMD, 팔란티어 등) 실적, 국내 기업 실적(현대로템, LIG넥스원, 네이버 등), 그리고... ",http://www.seoulwire.com/news/articleView.html?idxno=663963,2025-08-04 09:10:00,neutral,0.9632043242454529
12,국가전략기술 지정된 자율운항 선박… 상용화 속도낸다,"HD현대중공업은 지난해 3월 해군 함정 탑재용 무인 수상정(USV·Unmanned Surface Vehicle) 개념 설계 사업을 수주한 후, 현재 미국 AI 소프트웨어 기업 팔란티어테크놀로지스와 손잡고 테네브리스(TENEBRIS)라는 이름의 USV를... ",https://biz.chosun.com/industry/company/2025/08/04/LRTPD5FKCZFIJKXCMDNGYT3F2Q/?utm_source=naver&utm_medium=original&utm_campaign=biz,2025-08-04 09:01:00,positive,0.9998430013656616
13,"뉴욕증시, 무역협상 추이 '주시'…경제지표 주목","팔란티어 테크놀로지(4일), 어드밴스드 마이크로 디바이시스(AMD·5일), 암젠(5일), 코스트코 홀세일·맥도날드(6일), 일라이릴리·길리어드 사이언시스(7일)가 이번 주 실적을 발표한다.",https://www.newstof.com/news/articleView.html?idxno=29714,2025-08-04 08:52:00,neutral,0.9311673045158386
14,[뉴욕증시포커스]미국 주요국과 상호관세 협상 여부에 '눈길'…서비스업...,"이번주 주요 경제일정으로는 4일 공장 수주와 팔란티어 등 주요 기업 실적 발표, 5일 무역수지 및 ISM... 오는 4일에는 팔란티어 테크놀로지, 로우스, 온 세미컨덕터, 버텍스 파마슈티컬스, 사이먼 프라퍼티그룹이, 5일에는... ",https://www.goodkyung.com/news/articleView.html?idxno=269095,2025-08-04 08:44:00,neutral,0.9998235106468201
15,[뉴욕인사이트] 트럼프 관세·기업 실적에 주목,"주요 기업은 팔란티어테크놀로지, 어드밴스드마이크로디바이시스, 일라이 릴리, 디즈니 등이다. 미국... 이 밖에 주요 일정 및 연설로는 △4일 6월 공장 수주, 팔란티어테크놀로지·로우스·온 세미컨덕터·버텍스... ",https://www.etoday.co.kr/news/view/2493767,2025-08-04 08:36:00,neutral,0.9849516749382019
16,"[굿모닝 증시]""세제개편안 불확실성 지속…국내 증시 변동성 확대""","미국에선 4일 팔란티어 테크놀로지스를 시작으로 5일 AMD, 암젠, 리비안 등의 실적 발표가 이뤄진다. 국내에선 현대로템, LIG넥스원, NAVER, 카카오, 에코프로비엠 등의 실적 발표가 예정돼 있다. 한지영 키움증권... ",https://view.asiae.co.kr/article/2025080408313642354,2025-08-04 08:34:00,neutral,0.958064615726471
17,'세제개편안'에 '美고용쇼크' 겹악재…코스피 험로 예고,"미국에서는 AMD, 팔란티어 등 AI 관련 기업들의 실적이, 국내에서는 현대로템, LIG넥스원 등 방산주와 NAVER, 카카오 등 인터넷주, 에코프로비엠 등 이차전지 대표주들의 실적이 줄줄이 발표된다. 한지영 연구원은 ""매크로... ",https://news.einfomax.co.kr/news/articleView.html?idxno=4368040,2025-08-04 08:28:00,positive,0.9003562331199646
18,"""이번주 코스피, 대내외 악재 속 변동성 장세…실적·AI주 주목""<키움證...","한국 증시가 미국 고용쇼크 여진과 미 AI(인공지능)주 실적(AMD·팔란티어 등), 국내 기업 실적(현대로템... 한 연구원은 “미국에서는 AMD·팔란티어 등 AI 하드웨어·소프트웨어 업체 실적이 AI 수요 모멘텀을 이어갈 수... ",https://www.news2day.co.kr/article/20250804500018,2025-08-04 08:22:00,negative,0.8991917967796326
19,[굿모닝 마켓] 9월 금리 인하 가능성 80%…'빅 컷' 가능성도 제기,"현지시간 월요일에는 서학개미들이 주목하고 있는 팔란티어 실적도 나옵니다. 현재 팔란티어는 시총 20위권에 진입할 정도로 매우 높은 밸류에이션을 기록하고 있는데요. 과연 이번 실적이, 이같은 밸류에이션을... ",https://biz.sbs.co.kr/article_hub/20000251009?division=NAVER,2025-08-04 08:13:00,positive,0.9386149048805237
